platform,post_id,content,publish_time,like_count,comment_count,crawl_time,url,comment_content,comment_users,polarity,intensity,specific_emotion,aspect,reason,csi_score,urgency,need_improvement,polarity_label,analysis_method,aspects,urgency_score,facility_type
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,上海迪士尼度假区十周年庆典@摩登兄弟刘宇宁 和刘宇宁一起欢庆快乐,宁好啊L-Y-N,积极,5,满意,其他,SnowNLP快速分析,99,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,和@摩登兄弟刘宇宁 相遇上海迪士尼「奇妙在身边」，让奇妙一直都在。生日快乐,相逢已是上上签N,积极,5,满意,其他,SnowNLP快速分析,99,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,呜呼十周年快乐,Qcutie628,积极,5,满意,其他,SnowNLP快速分析,99,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,10周年快乐！,3417win,积极,5,满意,其他,SnowNLP快速分析,97,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,00:50 @LYN期许浪漫-皮皮宁: 期待明天的奇妙在身边 明天迪士尼不见不散,袖子VSL,积极,5,满意,其他,SnowNLP快速分析,96,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,玲娜贝儿作为第一只上迪出生的宝宝有独特的意义！我也是先喜欢贝儿再喜欢的迪士尼！感谢迪士尼和玲娜贝儿一直以来给我带来的温暖和幸福！,云吃吃_啊啊啊zz0版,积极,5,满意,其他,SnowNLP快速分析,99,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""积极"", ""intensity"": ""5"", ""specific_emotion"": ""满意"", ""csi_score"": ""75""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,10岁生日快乐！一起期待惊喜@摩登兄弟刘宇宁,萍聚_199702,积极,5,满意,其他,SnowNLP快速分析,99,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,一起期待惊喜@摩登兄弟刘宇宁,星辰大海LYN,积极,5,满意,其他,SnowNLP快速分析,99,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,上海迪士尼10岁生日快乐,MD-工作接不完的寧,积极,5,满意,其他,SnowNLP快速分析,94,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,上海迪士尼服务恶劣，把游客带的东西被搜出来直接扔了，🖕🏻,风风火火777777,消极,5,失望,其他,SnowNLP快速分析,0,10,是,消极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",10,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,明天，奇妙在身边,久悦白,积极,5,满意,其他,SnowNLP快速分析,85,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_0_1776503545,上海迪士尼10岁生日庆典｜这场盛会，加你更奇妙！  3月20日起，上海迪士尼10岁生日庆典即将盛大启幕。 向你发出这份神奇的邀约，来乐园看全新的精彩演出、见最可爱的迪士尼朋友们……这场奇妙的盛会，因你而不同！  我们一同欢聚在此，把所有的奇妙，汇聚、闪耀✨ 上海迪士尼10岁生日庆典，加你更奇妙！  #上海迪士尼10岁生日# #加你更奇妙# 上海迪士尼度假区的微博视频,,,,2026-04-18 17:12:25,https://weibo.com/5200478600/QwPqDlABv,#加你更奇妙# 十週年快樂 #上海迪士尼10岁生日#,Danny_菲菲,消极,5,失望,其他,SnowNLP快速分析,8,9,是,消极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",9,未知
weibo,weibo_1_1776503576,妙趣天成，加你更奇妙！,,,,2026-04-18 17:12:56,https://weibo.com/5200478600/Qx64Hpsgz,嘎嘎幸福的唐老鸭 :,嘎嘎幸福的唐老鸭,积极,5,满意,其他,SnowNLP快速分析,86,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_1_1776503576,妙趣天成，加你更奇妙！,,,,2026-04-18 17:12:56,https://weibo.com/5200478600/Qx64Hpsgz,要去上迪抱宝贝们的晁晁 :,要去上迪抱宝贝们的晁晁,积极,5,满意,其他,SnowNLP快速分析,90,0,否,积极,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
weibo,weibo_1_1776503576,妙趣天成，加你更奇妙！,,,,2026-04-18 17:12:56,https://weibo.com/5200478600/Qx64Hpsgz,玲娜bellbell :,玲娜bellbell,中性,3,中性,其他,SnowNLP快速分析,50,0,否,中性,snownlp,"[{""category"": ""其他"", ""aspect"": ""整体体验"", ""polarity"": ""中性"", ""intensity"": ""3"", ""specific_emotion"": ""中性"", ""csi_score"": ""50""}]",0,未知
