facility_type,category,aspect,polarity,intensity,specific_emotion,csi_score
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,82.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,100.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,100.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,100.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,82.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,消极,5,失望,25.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,消极,5,失望,25.0
未知,其他,整体体验,消极,5,失望,25.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,积极,5,满意,75.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,消极,5,失望,25.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
未知,其他,整体体验,中性,3,中性,50.0
